YEAR,category,aktor,film,type
2024,MUSIC (Original Score),Robbie Robertson,"""Killers of the Flower Moon""",nominees
2024,MUSIC (Original Score),Jerskin Fendrix,"""Poor Things""",nominees
2024,MUSIC (Original Song),Music and Lyric by Billie Eilish and Finneas O'Connell,"""Barbie""",Winner
2024,MUSIC (Original Song),Music and Lyric by Diane Warren,"""Flamin' Hot""",nominees
2024,MUSIC (Original Song),Music and Lyric by Mark Ronson and Andrew Wyatt,"""Barbie""",nominees
2024,MUSIC (Original Song),Music and Lyric by Jon Batiste and Dan Wilson,"""American Symphony""",nominees
2024,MUSIC (Original Song),Music and Lyric by Scott George,"""Killers of the Flower Moon""",nominees
2024,BEST PICTURE,"Emma Thomas, Charles Roven and Christopher Nolan, Producers","""Oppenheimer""",Winner
2024,BEST PICTURE,"Ben LeClair, Nikos Karamigios, Cord Jefferson and Jermaine Johnson, Producers","""American Fiction""",nominees
2024,BEST PICTURE,"Marie-Ange Luciani and David Thion, Producers","""Anatomy of a Fall""",nominees
2024,BEST PICTURE,"David Heyman, Margot Robbie, Tom Ackerley and Robbie Brenner, Producers","""Barbie""",nominees
2024,BEST PICTURE,"Mark Johnson, Producer","""The Holdovers""",nominees
2024,BEST PICTURE,"Dan Friedkin, Bradley Thomas, Martin Scorsese and Daniel Lupi, Producers","""Killers of the Flower Moon""",nominees
2024,BEST PICTURE,"Bradley Cooper, Steven Spielberg, Fred Berner, Amy Durning and Kristie Macosko Krieger, Producers","""Maestro""",nominees
2024,BEST PICTURE,"David Hinojosa, Christine Vachon and Pamela Koffler, Producers","""Past Lives""",nominees
2024,BEST PICTURE,"Ed Guiney, Andrew Lowe, Yorgos Lanthimos and Emma Stone, Producers","""Poor Things""",nominees
2024,BEST PICTURE,"James Wilson, Producer","""The Zone of Interest""",nominees
2024,PRODUCTION DESIGN,Production Design: James Price and Shona Heath; Set Decoration: Zsuzsa Mihalek,"""Poor Things""",Winner
2024,PRODUCTION DESIGN,Production Design: Sarah Greenwood; Set Decoration: Katie Spencer,"""Barbie""",nominees
2024,PRODUCTION DESIGN,Production Design: Jack Fisk; Set Decoration: Adam Willis,"""Killers of the Flower Moon""",nominees
2024,PRODUCTION DESIGN,Production Design: Arthur Max; Set Decoration: Elli Griff,"""Napoleon""",nominees
2024,PRODUCTION DESIGN,Production Design: Ruth De Jong; Set Decoration: Claire Kaufman,"""Oppenheimer""",nominees
2024,SHORT FILM (Animated),Dave Mullins and Brad Booker,"""WAR IS OVER! Inspired by the Music of John & Yoko""",Winner
2024,SHORT FILM (Animated),Tal Kantor and Amit R. Gicelter,"""Letter to a Pig""",nominees
2024,SHORT FILM (Animated),Jerusha Hess and Jared Hess,"""Ninety-Five Senses""",nominees
2024,SHORT FILM (Animated),Yegane Moghaddam,"""Our Uniform""",nominees
2024,SHORT FILM (Animated),Stéphanie Clément and Marc Rius,"""Pachyderme""",nominees
2024,SHORT FILM (Live Action),Wes Anderson and Steven Rales,"""The Wonderful Story of Henry Sugar""",Winner
2024,SHORT FILM (Live Action),Misan Harriman and Nicky Bentham,"""The After""",nominees
