YEAR,category,aktor,film,type
2024,HONORARY AWARD,Angela Bassett,"To Angela Bassett, who has inspired audiences around the world with her powerful and fearless performances.",Winner
2024,HONORARY AWARD,Mel Brooks,"To Mel Brooks, for his comedic brilliance, producing acumen and expansive body of work.",Winner
2024,HONORARY AWARD,Carol Littleton,"To Carol Littleton, whose commitment to her craft has significantly elevated the art of film editing.",Winner
2023,HONORARY AWARD,Euzhan Palcy,"To Euzhan Palcy, a masterful filmmaker who broke ground for Black women directors and inspired storytellers of all kinds across the globe.",Winner
2023,HONORARY AWARD,Diane Warren,"To Diane Warren, for her genius, generosity and passionate commitment to the power of song in film.",Winner
2023,HONORARY AWARD,Peter Weir,"To Peter Weir, a fearless and consummate filmmaker who has illuminated the human experience with his unique and expansive body of work.",Winner
2023,AWARD OF COMMENDATION,To Ryan Laney,"""Welcome to Chechnya""",Winner
2022,HONORARY AWARD,Samuel L. Jackson,"To Samuel L. Jackson, whose dynamic performances resonate across genres and generations of audiences worldwide.",Winner
2022,HONORARY AWARD,Elaine May,"To Elaine May, writer, director, performer, pioneer whose bracing comedic spark illuminates us all.",Winner
2022,HONORARY AWARD,Liv Ullmann,"To Liv Ullmann, for her deeply affecting screen portrayals and lifelong commitment to exploring the human condition.",Winner
2020,HONORARY AWARD,David Lynch,David Lynch,Winner
2020,HONORARY AWARD,Wes Studi,Wes Studi,Winner
2020,HONORARY AWARD,Lina Wertmüller,Lina Wertmüller,Winner
2019,HONORARY AWARD,Marvin Levy,Marvin Levy,Winner
2019,HONORARY AWARD,Lalo Schifrin,Lalo Schifrin,Winner
2019,HONORARY AWARD,Cicely Tyson,Cicely Tyson,Winner
2019,IRVING G. THALBERG MEMORIAL AWARD,Kathleen Kennedy and Frank Marshall,Kathleen Kennedy and Frank Marshall,Winner
2018,SPECIAL AWARD,Alejandro G. Iñárritu's CARNE y ARENA virtual reality installation,Alejandro G. Iñárritu's CARNE y ARENA virtual reality installation,Winner
2018,HONORARY AWARD,Charles Burnett,Charles Burnett,Winner
2018,HONORARY AWARD,Owen Roizman,Owen Roizman,Winner
2018,HONORARY AWARD,Donald Sutherland,Donald Sutherland for a lifetime of indelible characters,Winner
2018,HONORARY AWARD,Agnès Varda,Agnès Varda,Winner
2017,HONORARY AWARD,Jackie Chan,Jackie Chan,Winner
2017,HONORARY AWARD,Anne V. Coates,Anne V. Coates,Winner
2017,HONORARY AWARD,Lynn Stalmaster,Lynn Stalmaster,Winner
2017,HONORARY AWARD,Frederick Wiseman,Frederick Wiseman,Winner
2016,HONORARY AWARD,Spike Lee,Spike Lee,Winner
2016,HONORARY AWARD,Gena Rowlands,Gena Rowlands,Winner
2015,HONORARY AWARD,Jean-Claude Carrière,Jean-Claude Carrière,Winner
2015,HONORARY AWARD,Hayao Miyazaki,Hayao Miyazaki,Winner
2015,HONORARY AWARD,Maureen O'Hara,Maureen O'Hara,Winner
2014,HONORARY AWARD,Angela Lansbury,Angela Lansbury,Winner
2014,HONORARY AWARD,Steve Martin,Steve Martin in recognition of his extraordinary talents and the unique inspiration he has brought to the art of motion pictures.,Winner
2014,HONORARY AWARD,Piero si,Piero si,Winner
2013,HONORARY AWARD,Hal Needham,Hal Needham,Winner
2013,HONORARY AWARD,D.A. Pennebaker,D.A. Pennebaker,Winner
2013,HONORARY AWARD,George Stevens,George Stevens,Winner
2012,HONORARY AWARD,James Earl Jones,James Earl Jones for his legacy of consistent excellence and uncommon versatility.,Winner
2012,HONORARY AWARD,Dick Smith,Dick Smith for his unparalleled mastery of texture,Winner
2011,HONORARY AWARD,Kevin Brownlow,Kevin Brownlow for the wise and devoted chronicling of the cinematic parade.,Winner
2011,HONORARY AWARD,Jean-Luc Godard,Jean-Luc Godard for passion. For confrontation. For a new kind of cinema.,Winner
2011,HONORARY AWARD,Eli Wallach,Eli Wallach for a lifetime's worth of indelible screen characters.,Winner
2011,IRVING G. THALBERG MEMORIAL AWARD,Francis Ford Coppola,Francis Ford Coppola,Winner
2010,HONORARY AWARD,Lauren Bacall,Lauren Bacall in recognition of her central place in the golden age of motion pictures.,Winner
2010,HONORARY AWARD,Roger Corman,Roger Corman for his rich engendering of films and filmmakers.,Winner
2010,HONORARY AWARD,Gordon Willis,Gordon Willis for unsurpassed mastery of light,Winner
2010,IRVING G. THALBERG MEMORIAL AWARD,John Calley,John Calley,Winner
2008,HONORARY AWARD,Robert Boyle,Robert Boyle in recognition of one of cinema's great careers in art direction.,Winner
2007,HONORARY AWARD,Ennio Morricone,Ennio Morricone in recognition of his magnificent and multifaceted contributions to the art of film music.,Winner
2006,HONORARY AWARD,Robert Altman,Robert Altman in recognition of a career that has repeatedly reinvented the art form and inspired filmmakers and audiences alike.,Winner
2005,HONORARY AWARD,Sidney Lumet,Sidney Lumet in recognition of his brilliant services to screenwriters,Winner
2004,HONORARY AWARD,Blake Edwards,Blake Edwards in recognition of his writing,Winner
2003,HONORARY AWARD,Peter O'ole,Peter O'ole,Winner
2002,HONORARY AWARD,Sidney Poitier,Sidney Poitier in recognition of his remarkable accomplishments as an artist and as a human being.,Winner
2002,HONORARY AWARD,Robert Redford:  Actor,Robert Redford:  Actor,Winner
2001,HONORARY AWARD,Jack Cardiff,Jack Cardiff,Winner
2001,HONORARY AWARD,Ernest Lehman,Ernest Lehman,Winner
2001,IRVING G. THALBERG MEMORIAL AWARD,Dino De Laurentiis,Dino De Laurentiis,Winner
2000,HONORARY AWARD,Andrzej Wajda,Andrzej Wajda in recognition of five decades of extraordinary film direction.,Winner
2000,IRVING G. THALBERG MEMORIAL AWARD,Warren Beatty,Warren Beatty,Winner
1999,HONORARY AWARD,Elia Kazan,Elia Kazan in recognition of his indelible contributions to the art of motion picture direction.,Winner
1999,IRVING G. THALBERG MEMORIAL AWARD,Norman Jewison,Norman Jewison,Winner
1998,HONORARY AWARD,Stanley Donen,Stanley Donen in appreciation of a body of work marked by grace,Winner
1997,HONORARY AWARD,Michael Kidd,Michael Kidd in recognition of his services to the art of the dance in the art of the screen.,Winner
1997,IRVING G. THALBERG MEMORIAL AWARD,Saul Zaentz,Saul Zaentz,Winner
1996,HONORARY AWARD,Kirk Douglas,Kirk Douglas,Winner
1996,HONORARY AWARD,Chuck Jones,Chuck Jones,Winner
1995,HONORARY AWARD,Michelangelo Antonioni,Michelangelo Antonioni in recognition of his place as one of the cinema's master visual stylists.,Winner
1995,IRVING G. THALBERG MEMORIAL AWARD,Clint Eastwood,Clint Eastwood,Winner
1994,HONORARY AWARD,Deborah Kerr,Deborah Kerr,Winner
1993,HONORARY AWARD,Federico Fellini,Federico Fellini in recognition of his place as one of the screen's master storytellers.,Winner
1992,HONORARY AWARD,Satyajit Ray,Satyajit Ray,Winner
1992,IRVING G. THALBERG MEMORIAL AWARD,George Lucas,George Lucas,Winner
1991,HONORARY AWARD,Sophia Loren,Sophia Loren,Winner
1991,HONORARY AWARD,Myrna Loy,Myrna Loy,Winner
1991,IRVING G. THALBERG MEMORIAL AWARD,David Brown and Richard D. Zanuck,David Brown and Richard D. Zanuck,Winner
1990,HONORARY AWARD,Akira Kurosawa,Akira Kurosawa for accomplishments that have inspired,Winner
1989,HONORARY AWARD,the National Film Board of Canada,the National Film Board of Canada in recognition of its 50th anniversary and its dedicated commitment to originate artistic,Winner
1989,HONORARY AWARD,Eastman Kodak Company,Eastman Kodak Company in recognition of the company's fundamental contributions to the art of motion pictures during the first century of film history.,Winner
1988,IRVING G. THALBERG MEMORIAL AWARD,Billy Wilder,Billy Wilder,Winner
1987,HONORARY AWARD,Ralph Bellamy,Ralph Bellamy for his unique artistry and his distinguished service to the profession of acting.,Winner
1987,IRVING G. THALBERG MEMORIAL AWARD,Steven Spielberg,Steven Spielberg,Winner
1986,HONORARY AWARD,Paul Newman,Paul Newman,Winner
1986,HONORARY AWARD,Alex North,Alex North,Winner
1985,HONORARY AWARD,James Stewart,James Stewart,Winner
1985,HONORARY AWARD,the National Endowment,the National Endowment for the Arts,Winner
1984,HONORARY AWARD,Hal Roach,Hal Roach,Winner
1983,HONORARY AWARD,Mickey Rooney,Mickey Rooney,Winner
1982,HONORARY AWARD,Barbara Stanwyck,Barbara Stanwyck for superlative creativity and unique contribution to the art of screen acting.,Winner
1982,IRVING G. THALBERG MEMORIAL AWARD,Albert R. Broccoli,Albert R. Broccoli,Winner
1981,HONORARY AWARD,Henry Fonda,Henry Fonda,Winner
1980,HONORARY AWARD,Alec Guinness,Alec Guinness for advancing the art of screen acting through a host of memorable and distinguished performances.,Winner
1980,HONORARY AWARD,Hal Elias,Hal Elias for his dedication and distinguished service to the Academy of Motion Picture Arts and Sciences.,Winner
1980,IRVING G. THALBERG MEMORIAL AWARD,Ray Stark,Ray Stark,Winner
1979,HONORARY AWARD,Walter Lantz,Walter Lantz for bringing joy and laughter to every part of the world through his unique animated motion pictures.,Winner
1979,HONORARY AWARD,The Museum of Modern Art Department of Film,The Museum of Modern Art Department of Film for the contribution it has made to the public's perception of movies as an art form.,Winner
1979,HONORARY AWARD,Laurence Olivier,Laurence Olivier for the full body of his work,Winner
1979,HONORARY AWARD,King Vidor,King Vidor for his incomparable achievements as a cinematic creator and innovator.,Winner
1978,HONORARY AWARD,Margaret Booth,Margaret Booth for her exceptional contribution to the art of film editing in the motion picture industry.,Winner
1978,IRVING G. THALBERG MEMORIAL AWARD,Walter Mirisch,Walter Mirisch,Winner
1977,IRVING G. THALBERG MEMORIAL AWARD,Pandro S. Berman,Pandro S. Berman,Winner
1976,HONORARY AWARD,Mary Pickford,Mary Pickford in recognition of her unique contributions to the film industry and the development of film as an artistic medium.,Winner
1976,IRVING G. THALBERG MEMORIAL AWARD,Mervyn LeRoy,Mervyn LeRoy,Winner
1975,HONORARY AWARD,Howard Hawks,A master American filmmaker whose creative efforts hold a distinguished place in world cinema.,Winner
1975,HONORARY AWARD,Jean Renoir,a genius who,Winner
1974,HONORARY AWARD,Henri Langlois,Henri Langlois for his devotion to the art of film,Winner
1974,HONORARY AWARD,Groucho Marx,Groucho Marx in recognition of his brilliant creativity and for the unequalled achievements of the Marx Brothers in the art of motion picture comedy.,Winner
1974,IRVING G. THALBERG MEMORIAL AWARD,Lawrence Weingarten,Lawrence Weingarten,Winner
1973,HONORARY AWARD,Charles S. Boren,Charles S. Boren,Winner
1973,HONORARY AWARD,Edward G. Robinson who achieved greatness as a player,Edward G. Robinson who achieved greatness as a player,Winner
1972,HONORARY AWARD,Charles Chaplin,Charles Chaplin for the incalculable effect he has had in making motion pictures the art form of this century.,Winner
1971,HONORARY AWARD,Lillian Gish,Lillian Gish for superlative artistry and for distinguished contribution to the progress of motion pictures.,Winner
1971,HONORARY AWARD,Orson Welles,Orson Welles for superlative artistry and versatility in the creation of motion pictures.,Winner
1971,IRVING G. THALBERG MEMORIAL AWARD,Ingmar Bergman,Ingmar Bergman,Winner
1970,HONORARY AWARD,Cary Grant,Cary Grant for his unique mastery of the art of screen acting with the respect and affection of his colleagues.,Winner
1969,HONORARY AWARD,John Chambers,John Chambers for his outstanding makeup achievement for Planet of the Apes.,Winner
1969,HONORARY AWARD,Onna White,Onna White for her outstanding choreography achievement for Oliver!,Winner
1968,HONORARY AWARD,Arthur Freed,Arthur Freed for distinguished service to the Academy and the production of six top-rated Awards telecasts.,Winner
1968,IRVING G. THALBERG MEMORIAL AWARD,Alfred Hitchcock,Alfred Hitchcock,Winner
1967,HONORARY AWARD,Y. Frank Freeman,Y. Frank Freeman for unusual and outstanding service to the Academy during his thirty years in Hollywood.,Winner
1967,HONORARY AWARD,Yakima Canutt,Yakima Canutt for achievements as a stunt man and for developing safety devices to protect stunt men everywhere.,Winner
1967,IRVING G. THALBERG MEMORIAL AWARD,Robert Wise,Robert Wise,Winner
1966,HONORARY AWARD,Bob Hope,Bob Hope for unique and distinguished service to our industry and the Academy.,Winner
1966,IRVING G. THALBERG MEMORIAL AWARD,William Wyler,William Wyler,Winner
1965,HONORARY AWARD,William Tuttle,William Tuttle for his outstanding make-up achievement for 7 Faces of Dr. Lao.,Winner
1964,IRVING G. THALBERG MEMORIAL AWARD,Sam Spiegel,Sam Spiegel,Winner
1962,HONORARY AWARD,William L. Hendricks,William L. Hendricks for his outstanding patriotic service in the conception,Winner
1962,HONORARY AWARD,Fred L. Metzler,Fred L. Metzler for his dedication and outstanding service to the Academy of Motion Picture Arts and Sciences.,Winner
1962,HONORARY AWARD,Jerome Robbins,Jerome Robbins for his brilliant achievements in the art of choreography on film.,Winner
1962,IRVING G. THALBERG MEMORIAL AWARD,Stanley Kramer,Stanley Kramer,Winner
1961,HONORARY AWARD,Gary Cooper,Gary Cooper for his many memorable screen performances and the international recognition he,Winner
1961,HONORARY AWARD,Stan Laurel,Stan Laurel for his creative pioneering in the field of cinema comedy.,Winner
1961,HONORARY AWARD,Hayley Mills,Hayley Mills for Pollyanna,Winner
1960,HONORARY AWARD,Lee De Forest,Lee De Forest for his pioneering inventions which brought sound to the motion picture.,Winner
1960,HONORARY AWARD,Buster Keaton,Buster Keaton for his unique talents which brought immortal comedies to the screen.,Winner
1959,HONORARY AWARD,Maurice Chevalier,Maurice Chevalier for his contributions to the world of entertainment for more than half a century.,Winner
1959,IRVING G. THALBERG MEMORIAL AWARD,Jack L. Warner,Jack L. Warner,Winner
1958,HONORARY AWARD,Charles Brackett,Charles Brackett for outstanding service to the Academy.,Winner
1958,HONORARY AWARD,B.B. Kahane,B.B. Kahane for distinguished service to the motion picture industry.,Winner
1958,HONORARY AWARD,"Gilbert M. (""Broncho Billy"") Anderson","Gilbert M. (""Broncho Billy"") Anderson",Winner
1958,HONORARY AWARD,The Society of Motion Picture and Television Engineers,The Society of Motion Picture and Television Engineers for their contributions to the advancement of the motion picture industry.,Winner
1957,HONORARY AWARD,Eddie Cantor,Eddie Cantor for distinguished service to the film industry.,Winner
1957,IRVING G. THALBERG MEMORIAL AWARD,Buddy Adler,Buddy Adler,Winner
1955,HONORARY AWARD,Bausch & Lomb Optical Company,Bausch & Lomb Optical Company for their contributions to the advancement of the motion picture industry.,Winner
1955,HONORARY AWARD,Kemp R. Niver,Kemp R. Niver for the development of the Renovare Process which has made possible the restoration of the Library of Congress Paper Film Collection.,Winner
1955,HONORARY AWARD,Greta Garbo,Greta Garbo for her unforgettable screen performances.,Winner
1955,HONORARY AWARD,Danny Kaye,Danny Kaye for his unique talents,Winner
1955,HONORARY AWARD,Jon Whiteley,Jon Whiteley for his outstanding juvenile performance in The Little Kidnappers.,Winner
1955,HONORARY AWARD,Vincent Winter,Vincent Winter for his outstanding juvenile performance in The Little Kidnappers.,Winner
1954,HONORARY AWARD,Pete Smith,"Pete Smith for his witty and pungent observations on the American scene in his series of ""Pete Smith Specialties.""",Winner
1954,HONORARY AWARD,20th Century-Fox Film Corporation,20th Century-Fox Film Corporation in recognition of their imagination,Winner
1954,HONORARY AWARD,Joseph I. Breen,Joseph I. Breen for his conscientious,Winner
1954,HONORARY AWARD,Bell and Howell Company,Bell and Howell Company for their pioneering and basic achievements in the advancement of the motion picture industry.,Winner
1954,IRVING G. THALBERG MEMORIAL AWARD,George Stevens,George Stevens,Winner
1953,HONORARY AWARD,George Alfred Mitchell,George Alfred Mitchell for the design and development of the camera which bears his name and for his continued and dominant presence in the field of cinematography.,Winner
1953,HONORARY AWARD,Joseph M. Schenck,Joseph M. Schenck for long and distinguished service to the motion picture industry.,Winner
1953,HONORARY AWARD,Merian C. Cooper,Merian C. Cooper for his many innovations and contributions to the art of motion pictures.,Winner
1953,HONORARY AWARD,Harold Lloyd,Harold Lloyd,Winner
1953,HONORARY AWARD,Bob Hope,Bob Hope for his contribution to the laughter of the world,Winner
1953,IRVING G. THALBERG MEMORIAL AWARD,Cecil B. DeMille,Cecil B. DeMille,Winner
1952,HONORARY AWARD,Gene Kelly,Gene Kelly in appreciation of his versatility as an actor,Winner
1952,IRVING G. THALBERG MEMORIAL AWARD,Arthur Freed,Arthur Freed,Winner
1951,HONORARY AWARD,George Murphy,George Murphy for his services in interpreting the film industry to the country at large.,Winner
1951,HONORARY AWARD,Louis B. Mayer,Louis B. Mayer for distinguished service to the motion picture industry.,Winner
1951,IRVING G. THALBERG MEMORIAL AWARD,Darryl F. Zanuck,Darryl F. Zanuck,Winner
1950,SPECIAL FOREIGN LANGUAGE FILM AWARD,The Bicycle Thief,voted by the Academy Board of Governors as the most outstanding foreign language film released in the United States during 1949.,Winner
1950,SPECIAL AWARD,Bobby Driscoll,Bobby Driscoll,Winner
1950,SPECIAL AWARD,Fred Astaire,Fred Astaire for his unique artistry and his contributions to the technique of musical pictures.,Winner
1950,SPECIAL AWARD,Cecil B. DeMille,Cecil B. DeMille,Winner
1950,SPECIAL AWARD,Jean Hersholt,Jean Hersholt,Winner
1949,SPECIAL FOREIGN LANGUAGE FILM AWARD,Monsieur Vincent,voted by the Academy Board of Governors as the most outstanding foreign language film released in the United States during 1948.,Winner
1949,SPECIAL AWARD,Ivan Jandl,Ivan Jandl,Winner
1949,SPECIAL AWARD,Sid Grauman,Sid Grauman,Winner
1949,SPECIAL AWARD,Adolph Zukor,Adolph Zukor,Winner
1949,SPECIAL AWARD,Walter Wanger,Walter Wanger for distinguished service to the industry in adding to its moral stature in the world community by his production of the picture Joan of Arc.,Winner
1949,SPECIAL AWARD,Jean Hersholt,in recognition of his service to the Academy during four terms as president.,Winner
1949,IRVING G. THALBERG MEMORIAL AWARD,Jerry Wald,Jerry Wald,Winner
1948,SPECIAL AWARD,James Baskett,James Baskett for his able and heart-warming characterization of Uncle Remus,Winner
1948,SPECIAL AWARD,Bill and Coo,Bill and Coo,Winner
1948,SPECIAL AWARD,Shoe-Shine,the high quality of this motion picture,Winner
1948,SPECIAL AWARD,Colonel William N. Selig,Colonel William N. Selig,Winner
1947,SPECIAL AWARD,Laurence Olivier,Laurence Olivier for his outstanding achievement as actor,Winner
1947,SPECIAL AWARD,Harold Russell,Harold Russell for bringing hope and courage to his fellow veterans through his appearance in The Best Years of Our Lives.,Winner
1947,SPECIAL AWARD,Ernst Lubitsch,Ernst Lubitsch for his distinguished contributions to the art of the motion picture.,Winner
1947,SPECIAL AWARD,Claude Jarman,Claude Jarman,Winner
1947,IRVING G. THALBERG MEMORIAL AWARD,Samuel Goldwyn,Samuel Goldwyn,Winner
1946,SPECIAL AWARD,Walter Wanger,Walter Wanger for his six years service as President of the Academy of Motion Picture Arts and Sciences.,Winner
1946,SPECIAL AWARD,Peggy Ann Garner,Peggy Ann Garner,Winner
1946,SPECIAL AWARD,The House I Live In,The House I Live In,Winner
1946,SPECIAL AWARD,Republic Studio,Republic Studio,Winner
1945,SPECIAL AWARD,Margaret O'Brien,Margaret O'Brien,Winner
1945,SPECIAL AWARD,Bob Hope,Bob Hope for his many services to the Academy.,Winner
1945,IRVING G. THALBERG MEMORIAL AWARD,Darryl F. Zanuck,Darryl F. Zanuck,Winner
1944,SPECIAL AWARD,George Pal,George Pal for the development of novel methods and techniques in the production of short subjects known as Puppetoons.,Winner
1944,IRVING G. THALBERG MEMORIAL AWARD,Hal B. Wallis,Hal B. Wallis,Winner
1943,SPECIAL AWARD,Charles Boyer,Charles Boyer for his progressive cultural achievement in establishing the French Research Foundation in Los Angeles as a source of reference for the Hollywood Motion Picture Industry.,Winner
1943,SPECIAL AWARD,Noel Coward,Noel Coward for his outstanding production achievement in In Which We Serve.,Winner
1943,SPECIAL AWARD,Metro-Goldwyn-Mayer,"Metro-Goldwyn-Mayer for its achievement in representing the American Way of Life in the production of the ""Andy Hardy"" series of films.",Winner
1943,IRVING G. THALBERG MEMORIAL AWARD,Sidney Franklin,Sidney Franklin,Winner
1942,SPECIAL AWARD,Rey Scott,Rey Scott for his extraordinary achievement in producing Kukan,Winner
1942,SPECIAL AWARD,The British Ministry of Information,The British Ministry of Information for its vivid and dramatic presentation of the heroism of the RAF in the documentary film,Winner
1942,SPECIAL AWARD,Leopold Stokowski and his associates,Leopold Stokowski and his associates for their unique achievement in the creation of a new form of visualized music in Walt Disney's production,Winner
1942,SPECIAL AWARD,Walt Disney,Walt Disney,Winner
1942,IRVING G. THALBERG MEMORIAL AWARD,Walt Disney,Walt Disney,Winner
1941,SPECIAL AWARD,Bob Hope,Bob Hope,Winner
1941,SPECIAL AWARD,Colonel Nathan Levinson,Colonel Nathan Levinson for his outstanding service to the industry and the Army during the past nine years,Winner
1940,SPECIAL AWARD,Douglas Fairbanks (Commemorative Award),recognizing the unique and outstanding contribution of Douglas Fairbanks,Winner
1940,SPECIAL AWARD,The Motion Picture Relief Fund,acknowledging the outstanding services to the industry during the past year of the Motion Picture Relief Fund and its progressive leadership.  Presented to Jean Hersholt,Winner
1940,SPECIAL AWARD,Judy Garland,Judy Garland for her outstanding performance as a screen juvenile during the past year.,Winner
1940,SPECIAL AWARD,William Cameron Menzies,William Cameron Menzies for outstanding achievement in the use of color for the enhancement of dramatic mood in the production of Gone with the Wind.,Winner
1940,SPECIAL AWARD,the Technicolor Company,the Technicolor Company for its contributions in successfully bringing three-color feature production to the screen.,Winner
1940,IRVING G. THALBERG MEMORIAL AWARD,David O. Selznick,David O. Selznick,Winner
1939,SPECIAL AWARD,Deanna Durbin and Mickey Rooney,Deanna Durbin and Mickey Rooney for their significant contribution in bringing to the screen the spirit and personification of youth,Winner
1939,SPECIAL AWARD,Harry M. Warner,Harry M. Warner in recognition of patriotic service in the production of historical short subjects presenting significant episodes in the early struggle of the American people for liberty.,Winner
1939,SPECIAL AWARD,Walt Disney,Walt Disney for Snow White and the Seven Dwarfs,Winner
1939,SPECIAL AWARD,Oliver Marsh and Allen Davey,Oliver Marsh and Allen Davey for the color cinematography of the Metro-Goldwyn-Mayer production,Winner
1939,SPECIAL AWARD,For outstanding achievement in creating Special Photographic and Sound Effects in the Paramount production,For outstanding achievement in creating Special Photographic and Sound Effects in the Paramount production,Winner
1939,SPECIAL AWARD,J. Arthur Ball,J. Arthur Ball for his outstanding contributions to the advancement of color in Motion Picture Photography.,Winner
1939,IRVING G. THALBERG MEMORIAL AWARD,Hal B. Wallis,Hal B. Wallis,Winner
1939,IRVING G. THALBERG MEMORIAL AWARD,Joe Pasternak,Joe Pasternak,nominee
1939,IRVING G. THALBERG MEMORIAL AWARD,David O. Selznick,David O. Selznick,nominee
1939,IRVING G. THALBERG MEMORIAL AWARD,Hunt Stromberg,Hunt Stromberg,nominee
1939,IRVING G. THALBERG MEMORIAL AWARD,Walter Wanger,Walter Wanger,nominee
1939,IRVING G. THALBERG MEMORIAL AWARD,Darryl F. Zanuck,Darryl F. Zanuck,nominee
1938,SPECIAL AWARD,Mack Sennett,Mack Sennett,Winner
1938,SPECIAL AWARD,Edgar Bergen,Edgar Bergen for his outstanding comedy creation,Winner
1938,SPECIAL AWARD,The Museum of Modern Art Film Library,The Museum of Modern Art Film Library for its significant work in collecting films dating from 1895 to the present and for the first time making available to the public the means of studying the historical and aesthetic development of the motion picture as one of the major arts.,Winner
1938,SPECIAL AWARD,W. Howard Greene,W. Howard Greene for the color photography of A Star Is Born.  (This Award was recommended by a committee of leading cinematographers after viewing all the color pictures made during the year.),Winner
1938,IRVING G. THALBERG MEMORIAL AWARD,Darryl F. Zanuck,Darryl F. Zanuck,Winner
1937,SPECIAL AWARD,The March of Time,the newsreel.,Winner
1937,SPECIAL AWARD,W. Howard Greene and Harold Rosson,W. Howard Greene and Harold Rosson for the color cinematography of the Selznick International Production,Winner
1936,SPECIAL AWARD,David Wark Griffith,David Wark Griffith,Winner
1935,SPECIAL AWARD,Shirley Temple,Shirley Temple,Winner
1932,SPECIAL AWARD,Walt Disney,"Walt Disney for the creation of ""Mickey Mouse.""",Winner
1928,SPECIAL AWARD,Warner Bros.,Warner Bros.,Winner
1928,SPECIAL AWARD,Charles Chaplin,Charles Chaplin,Winner
2024,ACTOR IN A LEADING ROLE,Cillian Murphy,"""Oppenheimer""",Winner
2024,ACTOR IN A SUPPORTING ROLE,Robert Downey Jr.,"""Oppenheimer""",Winner
2024,ACTRESS IN A LEADING ROLE,Emma Stone,"""Poor Things""",Winner
2024,ACTRESS IN A SUPPORTING ROLE,Da'Vine Joy Randolph,"""The Holdovers""",Winner
2024,ANIMATED FEATURE FILM,Hayao Miyazaki,"""The Boy and the Heron""",Winner
2024,ANIMATED FEATURE FILM,Toshio Suzuki,"""The Boy and the Heron""",Winner
2024,CINEMATOGRAPHY,Hoyte van Hoytema,"""Oppenheimer""",Winner
2024,COSTUME DESIGN,Holly Waddington,"""Poor Things""",Winner
2024,DIRECTING,Christopher Nolan,"""Oppenheimer""",Winner
2024,DOCUMENTARY FEATURE FILM,Mstyslav Chernov,"""20 Days in Mariupol""",Winner
2024,DOCUMENTARY FEATURE FILM,Michelle Mizner,"""20 Days in Mariupol""",Winner
2024,DOCUMENTARY FEATURE FILM,Raney Aronson-Rath,"""20 Days in Mariupol""",Winner
2024,DOCUMENTARY SHORT FILM,Ben Proudfoot,"""The Last Repair Shop""",Winner
2024,DOCUMENTARY SHORT FILM,Kris Bowers,"""The Last Repair Shop""",Winner
2024,FILM EDITING,Jennifer Lame,"""Oppenheimer""",Winner
2024,INTERNATIONAL FEATURE FILM,United Kingdom,"""The Zone of Interest""",Winner
2024,MAKEUP AND HAIRSTYLING,Nadia Stacey,"""Poor Things""",Winner
2024,MAKEUP AND HAIRSTYLING,Mark Coulier,"""Poor Things""",Winner
2024,MAKEUP AND HAIRSTYLING,Josh Weston,"""Poor Things""",Winner
2024,MUSIC (Original Score),Ludwig Göransson,"""Oppenheimer""",Winner
2024,MUSIC (Original Song),Billie Eilish,"""Barbie""",Winner
2024,MUSIC (Original Song),Finneas O'Connell,"""Barbie""",Winner
2024,BEST PICTURE,Emma Thomas,"""Oppenheimer""",Winner
2024,BEST PICTURE,Charles Roven,"""Oppenheimer""",Winner
2024,BEST PICTURE,Christopher Nolan,"""Oppenheimer""",Winner
2024,PRODUCTION DESIGN,James Price,"""Poor Things""",Winner
2024,PRODUCTION DESIGN,Shona Heath,"""Poor Things""",Winner
2024,PRODUCTION DESIGN,Zsuzsa Mihalek,"""Poor Things""",Winner
2024,SHORT FILM (Animated),Dave Mullins,"""WAR IS OVER! Inspired by the Music of John & Yoko""",Winner
2024,SHORT FILM (Animated),Brad Booker,"""WAR IS OVER! Inspired by the Music of John & Yoko""",Winner
2024,SHORT FILM (Live Action),Wes Anderson,"""The Wonderful Story of Henry Sugar""",Winner
2024,SHORT FILM (Live Action),Steven Rales,"""The Wonderful Story of Henry Sugar""",Winner
2024,SOUND,Tarn Willers,"""The Zone of Interest""",Winner
2024,SOUND,Johnnie Burn,"""The Zone of Interest""",Winner
2024,VISUAL EFFECTS,Takashi Yamazaki,"""Godzilla Minus One""",Winner
2024,VISUAL EFFECTS,Kiyoko Shibuya,"""Godzilla Minus One""",Winner
2024,VISUAL EFFECTS,Masaki Takahashi,"""Godzilla Minus One""",Winner
2024,VISUAL EFFECTS,Tatsuji Nojima,"""Godzilla Minus One""",Winner
2024,WRITING (Adapted Screenplay),Cord Jefferson,"""American Fiction""",Winner
2024,WRITING (Original Screenplay),Justine Triet,,Winner
2024,WRITING (Original Screenplay),"Arthur Harari - ""Anatomy of a Fall""",,Winner
2024,JEAN HERSHOLT HUMANITARIAN AWARD,nan,,Winner
2024,ACTOR IN A LEADING ROLE,Bradley Cooper,"""Maestro""",nominee
2024,ACTOR IN A LEADING ROLE,Colman Domingo,"""Rustin""",nominee
2024,ACTOR IN A LEADING ROLE,Paul Giamatti,"""The Holdovers""",nominee
2024,ACTOR IN A LEADING ROLE,Jeffrey Wright,"""American Fiction""",nominee
2024,ACTOR IN A SUPPORTING ROLE,Sterling K. Brown,"""American Fiction""",nominee
2024,ACTOR IN A SUPPORTING ROLE,Robert De Niro,"""Killers of the Flower Moon""",nominee
